Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
Other Wards,3071626,2712391,1890877,975708,954414,589585,0.883,0.697,0.516,0.978,364609,0.382,0.192,"₹12,00,07,713",10.37,₹175.04,7190364,,
Shantala Nagar,2401161,2384599,2067653,856568,841607,474271,0.993,0.867,0.414,0.983,367010,0.436,0.198,"₹7,11,77,412",7.48,₹138.74,3863534,15.346893,75.11025555239311
Doddakanahalli,1727250,1711471,1456511,596480,587089,350792,0.991,0.851,0.409,0.984,236139,0.402,0.203,"₹5,92,11,778",9.02,₹159.54,3354728,12.8877198,77.69982279254712
Agara,1226026,1214797,1043176,520539,508562,336728,0.991,0.859,0.499,0.977,171714,0.338,0.275,"₹4,75,68,017",7.63,₹137.67,2633026,24.35172205,79.15736089927425
Koramangala,1169452,1158300,994218,528008,515062,334904,0.991,0.858,0.531,0.975,180001,0.349,0.286,"₹4,45,96,808",6.97,₹128.74,2437405,13.2923988,77.7519261
Adugodi,1191234,1182173,1005962,536543,522711,313312,0.992,0.851,0.533,0.974,209053,0.4,0.263,"₹4,38,90,701",7.02,₹131.45,2338615,12.9428472,77.6104155
Suddagunte Palya,1320628,1308932,1126624,542706,530825,296399,0.991,0.861,0.482,0.978,234284,0.441,0.224,"₹3,94,11,590",7.11,₹129.98,2174999,12.9303921,77.60755493947676
Vasanth Nagar,962005,955421,795373,423856,416058,262534,0.993,0.832,0.533,0.982,153393,0.369,0.273,"₹3,59,20,222",7.4,₹132.98,2032705,17.4938648,78.3862078
Bellanduru,1365703,1354563,1176030,447575,440185,257849,0.992,0.868,0.381,0.983,182240,0.414,0.189,"₹4,46,94,374",9.17,₹160.63,2550817,12.9292114,77.6770417
Hoysala Nagar,703222,698197,586782,331654,326166,217110,0.993,0.84,0.565,0.983,108961,0.334,0.309,"₹2,78,98,914",6.37,₹119.80,1504039,12.9802093,77.6273767
Byrasandra,624214,618914,500722,314383,308615,208058,0.992,0.809,0.628,0.982,100479,0.326,0.333,"₹2,47,00,142",6.28,₹113.20,1372034,13.1044845,77.32703495262322
Old Thippasandra,633865,628921,541589,315579,310219,203512,0.992,0.861,0.583,0.983,106602,0.344,0.321,"₹2,77,16,600",7.01,₹129.86,1493473,12.9720823,77.6464991
Marathahalli,1129332,1120935,942426,375796,369706,202837,0.993,0.841,0.399,0.984,166767,0.451,0.18,"₹3,57,48,713",9.01,₹160.03,2011710,12.9552572,77.6984163
Domlur,703108,698041,602252,313868,308639,201305,0.993,0.863,0.521,0.983,107215,0.347,0.286,"₹2,80,37,082",7.06,₹130.78,1507904,12.9624669,77.6381958
HRBR Layout,495908,493395,399052,284677,280474,194414,0.995,0.809,0.713,0.985,85982,0.307,0.392,"₹2,46,94,375",6.66,₹120.75,1365275,13.02404,77.6400268
Sampangiram Nagar,918287,911485,763612,361001,355542,188850,0.993,0.838,0.473,0.985,166584,0.469,0.206,"₹2,80,29,607",7.69,₹137.83,1592800,12.9764099,77.59121562190366
Madivala,751268,742961,621190,322177,315216,187691,0.989,0.836,0.519,0.978,127466,0.404,0.25,"₹2,34,98,153",6.69,₹123.51,1283390,13.0247543,77.9280389
Gandhinagar,583453,577642,409590,298294,292759,183335,0.99,0.709,0.728,0.981,109334,0.374,0.314,"₹2,78,00,422",8.46,₹153.09,1574607,23.2232877,72.6492267
Aramane Nagara,546489,542221,416957,285980,279386,180884,0.992,0.769,0.686,0.977,98438,0.352,0.331,"₹2,49,79,189",7.22,₹128.38,1425382,13.01442405,77.57549241386118
Jakkuru,629076,624824,485812,297748,291553,179670,0.993,0.778,0.613,0.979,111831,0.384,0.286,"₹2,99,13,410",8.89,₹154.35,1743306,13.074050549999999,77.61607728825783
