Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
Ganga Nagar,188574,187413,143991,105956,103887,70862,0.994,0.768,0.736,0.98,33000,0.318,0.376,"₹91,41,119",6.67,₹120.88,517686,26.9130086,75.7245126
Veeramadakari,220637,219153,162699,111091,108624,70763,0.993,0.742,0.683,0.978,37831,0.348,0.321,"₹93,32,952",7.09,₹125.90,537835,,
Kodigehalli,196145,194961,149308,107883,105725,70564,0.994,0.766,0.723,0.98,35140,0.332,0.36,"₹1,02,30,486",7.6,₹133.63,593640,13.3352382,77.6378555
Chunchaghatta,217645,215880,168160,102629,100846,69785,0.992,0.779,0.61,0.983,31050,0.308,0.321,"₹98,09,361",8.04,₹142.83,561909,12.8854954,77.5750342
Girinagar,151298,150124,109429,94526,92674,68559,0.992,0.729,0.864,0.98,24098,0.26,0.453,"₹81,20,554",6.16,₹110.86,464514,9.9628893,76.29880943060058
Vidyaranyapura,162334,161161,115878,94688,92989,68434,0.993,0.719,0.817,0.982,24532,0.264,0.422,"₹1,02,60,458",8.23,₹142.87,601776,13.4061933,75.2498674
Puttenahalli - Sarakki Lake,207078,205166,162436,105664,103627,68322,0.991,0.792,0.65,0.981,35287,0.341,0.33,"₹89,25,759",6.89,₹124.26,502544,,
Vijnana Nagar,284810,282184,236325,102203,100939,67616,0.991,0.837,0.433,0.988,33306,0.33,0.237,"₹1,04,84,765",8.31,₹148.27,591561,12.97353085,77.68237468189531
Ramamurthy Nagara,232429,231146,181021,102245,100972,66479,0.995,0.783,0.565,0.988,34467,0.341,0.286,"₹93,19,066",7.22,₹130.58,526973,13.0120218,77.6777817
Kacharkanahalli,191730,190608,151235,100993,99607,65419,0.994,0.793,0.668,0.986,34157,0.343,0.341,"₹83,39,738",6.79,₹123.42,468312,13.0201456,77.63271304873194
New Bayappanahalli,254107,252254,209679,108901,107300,65408,0.993,0.831,0.519,0.985,41874,0.39,0.257,"₹88,28,102",6.72,₹121.67,495902,,
Uttarahalli,186490,185055,140087,98160,95735,65255,0.992,0.757,0.701,0.975,30463,0.318,0.35,"₹83,20,142",7.63,₹135.69,473598,12.9055682,77.5455438
Begur,265563,263194,209042,106436,104409,65013,0.991,0.794,0.509,0.981,39383,0.377,0.245,"₹1,08,98,601",9.51,₹165.47,632169,41.9541918,3.2088349
Kaval Bairasandra,193601,192567,152405,97995,96136,63841,0.995,0.791,0.643,0.981,32275,0.336,0.33,"₹85,33,133",6.86,₹124.91,483576,13.02836435,77.61154199298105
Malleswaram,166854,165380,122220,93842,91944,63512,0.991,0.739,0.768,0.98,28406,0.309,0.381,"₹76,87,376",6.73,₹120.55,436550,17.1073132,80.8790288
Varthuru,402250,390539,324590,105265,103606,62888,0.971,0.831,0.324,0.984,40705,0.393,0.156,"₹1,29,61,411",10.96,₹190.49,759723,12.9406152,77.7469937
Hagadur,278239,274893,217235,104341,102653,62887,0.988,0.79,0.48,0.984,39751,0.387,0.226,"₹1,11,27,797",8.77,₹153.23,643245,12.9648648,77.7557276
Padmanabha Nagar,158399,157105,120091,90719,88380,62331,0.992,0.764,0.755,0.974,26035,0.295,0.394,"₹73,40,332",6.31,₹113.41,414667,13.0045512,80.2587292
Chamrajapet,200517,198991,150994,104756,102838,61777,0.992,0.759,0.694,0.982,41031,0.399,0.308,"₹77,86,960",6.75,₹120.21,445176,12.95732895,77.56456126952216
Umamaheshwara Ward,164543,163007,125458,91960,89945,61347,0.991,0.77,0.733,0.978,28580,0.318,0.373,"₹74,19,194",5.88,₹107.51,418110,10.6685575,76.4313698
Yelahanka Satellite Town,169746,168473,120260,96807,95135,61324,0.993,0.714,0.805,0.983,33788,0.355,0.361,"₹98,08,967",8.69,₹149.50,577463,13.0889472,77.58785284691349
Anjanapura,181644,179006,135191,91485,88729,60694,0.986,0.755,0.677,0.97,28021,0.316,0.334,"₹91,40,657",8.31,₹144.46,531947,12.6847039,77.2711718
Jayachamarajendra  Nagar,167767,166630,130339,90839,89181,60216,0.993,0.782,0.697,0.982,28949,0.325,0.359,"₹78,87,322",6.65,₹120.71,447086,13.0156002,77.58771609804788
Jayamahal,199847,198600,154332,96533,95354,57697,0.994,0.777,0.625,0.988,37629,0.395,0.289,"₹81,78,556",7.08,₹130.82,449166,12.9988116,77.5975789
Shettihalli,172369,170961,121801,87975,86145,56658,0.992,0.712,0.722,0.979,29465,0.342,0.329,"₹76,92,274",7.57,₹131.12,450388,13.4535989,77.852107
Lakkasandra,244683,242974,202937,96480,94954,56502,0.993,0.835,0.475,0.984,38431,0.405,0.231,"₹73,61,671",6.97,₹126.23,413147,13.1462273,77.3008060934105
Dattatreya Temple,139810,138323,104347,81795,80384,56306,0.989,0.754,0.784,0.983,24051,0.299,0.403,"₹70,92,611",6.58,₹118.04,404266,12.9976348,77.57487767705354
Medahalli,210416,208912,160872,89864,88720,56103,0.993,0.77,0.559,0.987,32596,0.367,0.267,"₹95,02,663",8.86,₹157.11,552030,13.0278454,77.7206079
K R Puram,246849,245151,181931,96758,95586,55788,0.993,0.742,0.532,0.988,39775,0.416,0.226,"₹87,30,663",8.15,₹144.68,501154,13.0088135,76.1078992
Garudachar Playa,233812,232336,191372,97957,96448,55750,0.994,0.824,0.512,0.985,40674,0.422,0.238,"₹90,38,348",8.3,₹147.09,510788,,
Katriguppe,136402,135253,100769,81074,79166,55446,0.992,0.745,0.805,0.976,23701,0.299,0.406,"₹64,75,234",6.52,₹117.47,366779,12.9280952,77.5488835
Devarachikkanahalli,226563,224459,181209,88766,87174,55262,0.991,0.807,0.49,0.982,31900,0.366,0.244,"₹83,43,832",8.29,₹147.16,475621,12.8999598,77.6044666
Kempegowda Ward,223033,220550,158743,91311,89805,54974,0.989,0.72,0.575,0.984,34816,0.388,0.246,"₹99,49,162",9.86,₹168.46,592827,13.11419655,77.5954396709399
Neelasandra,220700,219466,187313,90231,88979,54805,0.994,0.853,0.482,0.986,34144,0.384,0.248,"₹64,63,739",5.83,₹110.57,352007,12.9521793,77.6140918
Kumaraswamy Layout,143853,142737,105455,82322,80684,54590,0.992,0.739,0.781,0.98,26080,0.323,0.38,"₹63,71,132",6.39,₹114.23,358192,12.9067683,77.5595021
Thanisandra,155904,155006,113130,84772,82935,54435,0.994,0.73,0.749,0.978,28487,0.344,0.349,"₹87,98,989",8.64,₹150.70,514432,13.054713,77.6339258
